,Edad,Long
4,4,120
5,5,150
6,6,187
7,7,183
8,8,231
9,9,282
10,10,277
11,11,357
12,12,311
13,13,352
14,14,374
15,15,336
16,16,410
17,17,379
18,18,452
19,19,444
20,20,517
21,21,465
22,22,498
23,23,550
24,24,494
25,25,534
26,26,536
27,27,573
28,28,556
29,29,612
30,30,579
31,31,625
32,32,623
33,33,671
34,34,604
35,35,553
36,36,715
37,37,598
38,38,706
39,39,783
40,40,830
41,41,754
42,42,661
43,43,721
44,44,749
45,45,763
46,46,732
47,47,688
48,48,834
49,49,804
50,50,770
51,51,868
52,52,976
53,53,809
54,54,751
55,55,798
56,56,728
57,57,826
58,58,740
59,59,797
60,60,866
61,61,825
62,62,828
63,63,882
64,64,942
65,65,848
66,66,798
67,67,865
68,68,1063
69,69,940
70,70,879
71,71,920
72,72,955
73,73,847
74,74,873
75,75,882
76,76,773
77,77,949
78,78,914
79,79,843
80,80,776
81,81,884
82,82,885
83,83,962
84,84,822
85,85,963
86,86,840
87,87,903
88,88,939
89,89,862
90,90,933
91,91,838
92,92,989
93,93,903
94,94,902
95,95,924
96,96,842
97,97,848
98,98,948
